0,1,2,3,4,5,6,7,8,9,10
rolls/buns,long life bakery product,,,,,,,,,
flower (seeds),honey,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
soft cheese,cat food,,,,,,,,,
bottled water,whipped/sour cream,berries,whole milk,,,,,,,
pork,brown bread,,,,,,,,,
coffee,whole milk,,,,,,,,,
flour,cream cheese ,,,,,,,,,
seasonal products,dishes,shopping bags,,,,,,,,
herbs,spread cheese,rolls/buns,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
yogurt,newspapers,,,,,,,,,
citrus fruit,soda,shopping bags,,,,,,,,
tropical fruit,fish,,,,,,,,,
kitchen towels,margarine,,,,,,,,,
meat,photo/film,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
whole milk,bottled water,soda,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
root vegetables,processed cheese,,,,,,,,,
margarine,canned vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whipped/sour cream,shopping bags,rolls/buns,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
beef,pasta,,,,,,,,,
hamburger meat,butter,,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
ham,chicken,,,,,,,,,
soda,root vegetables,,,,,,,,,
margarine,bottled water,,,,,,,,,
pastry,hygiene articles,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
grapes,honey,,,,,,,,,
whole milk,brown bread,,,,,,,,,
mustard,shopping bags,shopping bags,,,,,,,,
rolls/buns,pork,canned beer,root vegetables,canned beer,shopping bags,oil,soda,,,
chicken,frozen dessert,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
beef,tropical fruit,,,,,,,,,
canned beer,rolls/buns,whole milk,grapes,,,,,,,
root vegetables,salt,,,,,,,,,
soda,whole milk,brandy,,,,,,,,
whole milk,soft cheese,,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pasta,shopping bags,,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,other vegetables,soda,long life bakery product,,,,,,,
canned beer,bottled water,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
grapes,canned fish,,,,,,,,,
yogurt,pip fruit,yogurt,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
chocolate,frozen fish,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
other vegetables,brown bread,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
curd,coffee,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
bottled water,berries,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
brown bread,domestic eggs,,,,,,,,,
soups,coffee,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
soda,margarine,,,,,,,,,
packaged fruit/vegetables,margarine,napkins,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
pastry,bottled water,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
coffee,turkey,margarine,hard cheese,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
chicken,red/blush wine,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
sausage,yogurt,dishes,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
pork,domestic eggs,,,,,,,,,
sausage,pip fruit,spices,,,,,,,,
dish cleaner,coffee,,,,,,,,,
soda,other vegetables,,,,,,,,,
bottled water,curd,,,,,,,,,
soda,snack products,whole milk,,,,,,,,
candy,pot plants,,,,,,,,,
house keeping products,domestic eggs,,,,,,,,,
candy,bottled water,,,,,,,,,
napkins,soda,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
beef,sausage,oil,candles,,,,,,,
pip fruit,candy,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pastry,canned beer,,,,,,,,,
whole milk,chicken,,,,,,,,,
dessert,sliced cheese,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
root vegetables,bottled water,,,,,,,,,
soda,dessert,,,,,,,,,
soda,soda,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
rolls/buns,curd,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
meat,butter,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
pastry,dessert,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
sliced cheese,candy,,,,,,,,,
pip fruit,frozen fish,cling film/bags,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
rolls/buns,curd,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
beef,misc. beverages,beef,salty snack,,,,,,,
whole milk,canned beer,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
chocolate,cat food,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
whole milk,brown bread,candy,,,,,,,,
berries,yogurt,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
soda,bottled beer,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
other vegetables,meat,soda,whipped/sour cream,,,,,,,
butter,yogurt,,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
other vegetables,pastry,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
soda,whole milk,,,,,,,,,
sausage,chicken,,,,,,,,,
whole milk,soda,,,,,,,,,
root vegetables,hygiene articles,domestic eggs,,,,,,,,
long life bakery product,rum,,,,,,,,,
candy,yogurt,,,,,,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
soda,hard cheese,,,,,,,,,
other vegetables,pastry,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
sausage,dessert,,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
waffles,beverages,,,,,,,,,
sausage,root vegetables,,,,,,,,,
margarine,sugar,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
cream cheese ,beverages,,,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
soda,margarine,,,,,,,,,
soda,butter,rolls/buns,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
sauces,ice cream,,,,,,,,,
butter,waffles,,,,,,,,,
beverages,shopping bags,,,,,,,,,
brown bread,citrus fruit,,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
herbs,chocolate,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
whole milk,bottled water,,,,,,,,,
hard cheese,liquor,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
bottled water,newspapers,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
butter,photo/film,,,,,,,,,
yogurt,pastry,chewing gum,butter milk,,,,,,,
hamburger meat,cleaner,,,,,,,,,
zwieback,salty snack,,,,,,,,,
whole milk,house keeping products,,,,,,,,,
seasonal products,frozen vegetables,yogurt,,,,,,,,
bottled beer,tropical fruit,bottled water,,,,,,,,
waffles,sugar,,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
ice cream,salty snack,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
curd,red/blush wine,,,,,,,,,
soda,root vegetables,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
frankfurter,butter,newspapers,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
salt,cream cheese ,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
bottled water,sugar,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
beef,coffee,,,,,,,,,
whole milk,oil,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
coffee,napkins,,,,,,,,,
condensed milk,pastry,,,,,,,,,
bottled beer,whole milk,UHT-milk,chocolate,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
root vegetables,pastry,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
citrus fruit,soda,,,,,,,,,
tropical fruit,napkins,whole milk,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
tropical fruit,onions,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
ready soups,pastry,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
processed cheese,other vegetables,,,,,,,,,
meat,ham,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
white bread,napkins,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
hygiene articles,whole milk,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
chicken,soda,,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
pasta,soda,,,,,,,,,
tropical fruit,root vegetables,pip fruit,butter milk,waffles,bottled beer,,,,,
butter,dish cleaner,,,,,,,,,
sausage,pip fruit,hard cheese,frozen vegetables,,,,,,,
beverages,cat food,soda,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
canned beer,bottled beer,chocolate,,,,,,,,
curd,yogurt,,,,,,,,,
pork,root vegetables,,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
pip fruit,sugar,,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
beef,processed cheese,,,,,,,,,
beef,napkins,,,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
tropical fruit,bottled water,semi-finished bread,,,,,,,,
brown bread,pastry,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
butter,rolls/buns,,,,,,,,,
dessert,citrus fruit,,,,,,,,,
soda,yogurt,whole milk,coffee,,,,,,,
coffee,misc. beverages,,,,,,,,,
other vegetables,curd,,,,,,,,,
organic sausage,specialty chocolate,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
white bread,rolls/buns,,,,,,,,,
dishes,yogurt,,,,,,,,,
bathroom cleaner,whole milk,,,,,,,,,
specialty fat,pet care,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
curd,brown bread,,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
other vegetables,other vegetables,berries,,,,,,,,
sausage,citrus fruit,,,,,,,,,
other vegetables,pastry,shopping bags,,,,,,,,
brown bread,oil,,,,,,,,,
photo/film,citrus fruit,chewing gum,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frankfurter,fruit/vegetable juice,baking powder,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
other vegetables,curd,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
soft cheese,coffee,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
zwieback,UHT-milk,,,,,,,,,
sausage,root vegetables,brown bread,soda,,,,,,,
pork,yogurt,yogurt,canned fish,,,,,,,
whole milk,sausage,,,,,,,,,
whole milk,ham,,,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
canned beer,chocolate,,,,,,,,,
condensed milk,waffles,domestic eggs,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
chicken,napkins,soda,,,,,,,,
sugar,cream cheese ,,,,,,,,,
house keeping products,whole milk,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
curd,napkins,,,,,,,,,
pip fruit,cling film/bags,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
ham,Instant food products,,,,,,,,,
ketchup,whole milk,,,,,,,,,
onions,bottled beer,,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
root vegetables,snack products,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
other vegetables,tropical fruit,seasonal products,butter,shopping bags,,,,,,
rolls/buns,specialty bar,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
newspapers,whole milk,,,,,,,,,
ham,other vegetables,,,,,,,,,
tropical fruit,whole milk,nut snack,sliced cheese,,,,,,,
canned beer,other vegetables,waffles,oil,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
herbs,root vegetables,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
chewing gum,photo/film,yogurt,long life bakery product,soda,whole milk,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
chicken,misc. beverages,,,,,,,,,
semi-finished bread,berries,,,,,,,,,
sausage,yogurt,candles,,,,,,,,
hygiene articles,dessert,,,,,,,,,
canned beer,spices,rolls/buns,frozen fish,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
grapes,coffee,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
male cosmetics,oil,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
chicken,bottled water,,,,,,,,,
cream cheese ,whipped/sour cream,,,,,,,,,
pork,root vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
meat,yogurt,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,whole milk,specialty bar,,,,,,
pip fruit,soda,jam,,,,,,,,
hamburger meat,whole milk,root vegetables,hygiene articles,hygiene articles,brown bread,,,,,
grapes,frozen meals,flower (seeds),,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
chicken,butter,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
chicken,brown bread,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
popcorn,domestic eggs,canned beer,butter milk,,,,,,,
soda,soda,,,,,,,,,
liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
soda,bottled water,,,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
whole milk,processed cheese,pastry,,,,,,,,
pastry,red/blush wine,,,,,,,,,
baking powder,hair spray,,,,,,,,,
chicken,dessert,,,,,,,,,
sparkling wine,bottled water,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
dessert,other vegetables,,,,,,,,,
whole milk,soda,whipped/sour cream,dessert,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
nuts/prunes,onions,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
frankfurter,pip fruit,,,,,,,,,
sausage,pork,pip fruit,soda,beef,fruit/vegetable juice,root vegetables,berries,misc. beverages,,
whole milk,rolls/buns,,,,,,,,,
brown bread,chocolate,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
misc. beverages,curd,,,,,,,,,
photo/film,pork,liquor,,,,,,,,
butter,root vegetables,,,,,,,,,
soda,UHT-milk,pastry,domestic eggs,,,,,,,
yogurt,sausage,yogurt,pip fruit,curd,,,,,,
soda,hard cheese,,,,,,,,,
root vegetables,softener,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
ham,cream cheese ,,,,,,,,,
sausage,pet care,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
ham,whole milk,whole milk,coffee,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
onions,cat food,white wine,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
dessert,chocolate,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
tropical fruit,candy,,,,,,,,,
domestic eggs,hamburger meat,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
canned beer,canned fish,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
beef,salty snack,,,,,,,,,
yogurt,yogurt,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
chewing gum,cake bar,,,,,,,,,
whole milk,cat food,,,,,,,,,
onions,yogurt,white bread,,,,,,,,
dessert,margarine,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
cat food,curd,bottled water,frozen vegetables,tea,,,,,,
waffles,ketchup,candy,,,,,,,,
chocolate,curd cheese,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
napkins,root vegetables,sliced cheese,,,,,,,,
ham,pastry,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
coffee,soda,,,,,,,,,
dessert,zwieback,,,,,,,,,
dishes,bottled water,,,,,,,,,
zwieback,specialty chocolate,,,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
oil,butter,,,,,,,,,
soda,berries,root vegetables,bottled beer,,,,,,,
oil,soda,,,,,,,,,
bottled water,soda,,,,,,,,,
other vegetables,white bread,,,,,,,,,
pip fruit,canned fish,organic sausage,pastry,,,,,,,
brown bread,soda,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
bottled water,pip fruit,frozen vegetables,,,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
hamburger meat,white bread,,,,,,,,,
pork,brown bread,,,,,,,,,
pastry,whole milk,,,,,,,,,
beverages,soda,curd,liquor,whole milk,margarine,flour,,,,
citrus fruit,whole milk,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
yogurt,bottled water,processed cheese,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pastry,onions,,,,,,,,,
rolls/buns,potato products,,,,,,,,,
pip fruit,spices,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
tropical fruit,candy,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
bottled beer,beef,frozen vegetables,shopping bags,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
butter,seasonal products,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
seasonal products,salt,,,,,,,,,
herbs,cereals,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,,,,,,,,
tropical fruit,soda,canned beer,,,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
pip fruit,turkey,,,,,,,,,
citrus fruit,chewing gum,brown bread,,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
whole milk,canned beer,,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
bottled beer,hard cheese,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
yogurt,bottled beer,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
root vegetables,butter,,,,,,,,,
whole milk,Instant food products,pip fruit,canned beer,,,,,,,
onions,grapes,bottled beer,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
beef,canned beer,,,,,,,,,
soft cheese,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
root vegetables,nut snack,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
margarine,waffles,,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
sliced cheese,pasta,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
berries,canned fish,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
berries,candy,rolls/buns,,,,,,,,
berries,other vegetables,,,,,,,,,
sausage,pot plants,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
honey,yogurt,spices,chocolate,,,,,,,
sausage,root vegetables,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
pip fruit,chewing gum,,,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
candy,whole milk,,,,,,,,,
pot plants,whipped/sour cream,,,,,,,,,
rolls/buns,detergent,shopping bags,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
nuts/prunes,cream cheese ,,,,,,,,,
canned beer,herbs,,,,,,,,,
chicken,shopping bags,,,,,,,,,
beef,shopping bags,,,,,,,,,
softener,salty snack,,,,,,,,,
pork,butter,,,,,,,,,
whole milk,soda,,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
frankfurter,ice cream,,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
canned beer,beef,whole milk,coffee,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
hard cheese,yogurt,,,,,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
soda,shopping bags,,,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
whole milk,bottled water,,,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
shopping bags,detergent,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
beef,berries,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
bottled water,bottled water,,,,,,,,,
butter,canned fish,cream cheese ,,,,,,,,
yogurt,yogurt,other vegetables,sliced cheese,,,,,,,
butter milk,napkins,,,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
coffee,softener,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
frankfurter,specialty chocolate,brown bread,herbs,rolls/buns,,,,,,
pip fruit,whole milk,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
shopping bags,salty snack,house keeping products,,,,,,,,
detergent,other vegetables,detergent,,,,,,,,
sausage,tropical fruit,,,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
